0,8
0,16
0,32
0,33
0,37
0,38
0,39
0,40
0,41
0,42
0,44
0,46
0,47
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,65
0,66
0,67
0,69
0,85
0,91
0,92
0,103
0,232
0,266
0,292
1,6
1,32
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,15
2,16
2,17
2,18
2,19
2,21
2,23
2,24
2,27
2,28
2,29
2,30
2,32
2,33
2,34
2,35
2,36
2,41
2,46
2,51
2,55
2,57
2,79
2,95
2,103
2,111
2,210
3,4
3,5
3,6
3,7
3,9
3,10
3,11
3,12
3,16
3,17
3,18
3,19
3,20
3,22
3,23
3,24
3,27
3,29
3,30
3,33
3,34
3,35
3,36
3,41
3,46
3,51
3,52
3,55
3,57
3,66
3,91
3,92
3,95
3,103
3,104
3,106
3,111
3,196
3,205
3,291
3,303
3,305
4,5
4,6
4,7
4,9
4,11
4,13
4,14
4,15
4,17
4,18
4,19
4,21
4,22
4,23
4,24
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,34
4,35
4,36
4,71
4,74
4,76
4,77
4,82
4,104
4,187
4,190
4,196
4,260
5,6
5,7
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
5,19
5,22
5,23
5,24
5,25
5,26
5,27
5,28
5,30
5,31
5,34
5,35
5,36
5,53
5,56
5,60
5,76
5,86
5,91
5,105
5,263
5,317
6,7
6,8
6,9
6,10
6,11
6,14
6,15
6,16
6,17
6,21
6,22
6,23
6,27
6,28
6,30
6,31
6,32
6,33
6,34
6,36
6,67
6,74
6,76
6,79
6,89
6,178
6,195
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,35
7,36
7,37
7,40
7,46
7,47
7,57
7,60
7,67
7,76
7,98
7,101
7,103
7,177
7,245
7,286
8,10
8,11
8,16
8,17
8,21
8,27
8,29
8,32
8,33
8,35
8,36
8,57
8,103
8,221
9,10
9,11
9,13
9,14
9,16
9,17
9,18
9,20
9,21
9,22
9,23
9,24
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,44
9,56
9,67
9,79
9,80
9,83
9,91
9,101
9,189
9,231
10,16
10,17
10,20
10,21
10,22
10,27
10,29
10,30
10,32
10,33
10,34
10,35
10,36
10,41
10,57
10,62
10,67
10,83
10,91
10,104
10,160
10,174
10,196
10,262
10,292
10,311
10,314
11,14
11,15
11,16
11,17
11,18
11,19
11,24
11,26
11,28
11,29
11,31
11,34
11,35
11,64
12,13
12,14
12,15
12,17
12,18
12,20
12,21
12,22
12,23
12,24
12,25
12,27
12,29
12,30
12,34
12,35
12,36
12,46
12,53
12,56
12,59
12,63
12,91
12,104
12,210
12,213
12,258
12,302
13,15
13,18
13,20
13,21
